HeroRank,VillainRank,CharacterID,CharacterName,CharacterType,Actor,ActorID,Gender,Film,FilmCode,FilmReleaseYear,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,RTCriticScore,RTAudienceScore
1,N/A,104,Atticus Finch,Hero,Gregory Peck,1,M,To Kill a Mockingbird,1,1962,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,92
2,N/A,103,Indiana Jones,Hero,Harrison Ford,2,M,Raiders of the Lost Ark,2,1981,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,96
3,N/A,102,James Bond,Hero,Sean Connery,3,M,Dr. No,3,1962,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,96,82
4,N/A,101,Rick Blaine,Hero,Humphrey Bogart,4,M,Casablanca,4,1942,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,97,95
5,N/A,100,Will Kane,Hero,Gary Cooper,5,M,High Noon,5,1952,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,96,89
6,N/A,99,Clarice Starling,Hero,Jodie Foster,6,F,The Silence of the Lambs,6,1991,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,95,95
7,N/A,98,Rocky Balboa,Hero,Sylvester Stallone,7,M,Rocky,7,1976,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,93,69
8,N/A,97,Ellen Ripley,Hero,Sigourney Weaver,8,F,Aliens,8,1986,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,98,94
9,N/A,96,George Bailey,Hero,James Stewart,9,M,It's a Wonderful Life,9,1946,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,95
10,N/A,95,T. E. Lawrence,Hero,Peter O'Toole,10,M,Lawrence of Arabia,10,1962,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,98,93
